UID,LAST_NAME,FIRST_NAME,ALIASES,ALTERNATIVE_SPELLING
3621669,QANAN,Radwan Muhammad Husayn Ali,"AL-ADANI,Abu 'Abd al-Rahman;AL-NAQAZ,Basil Muhsin Ahmad;ALSAYARI,Radwan Qan'an;KANAN,Radwan;KANNA,Radwan;QANAF,Radhwan;QANAN,Radwan;QANAN,Radwan Mohammed Hussein;QANAN,Radwan Muhammad Husayn Ali;QANAN,Radwan Muhamnad Husayn;QANAN,Rodhwan;QANAN,Rodhwan Mohammed Hossein",
3621670,AL KHAYR SUPERMARKET,,AL KHAER SUPERMARKET;AL KHAIR SUPERMARKET;AL-KHAIR MARKET;AL-KHYR SUPERMARKET;Al KHAYER SUPERMARKET,
3621671,AL-ADANI,Abu Sulayman,"ABU-SULAYMAN,Nashwan al-Adani;AL ADANI,Nashwan;AL-ADANI,Abu Sulayman;AL-ADANI,Nashwan;AL-ADANI,Sulayman;AL-ADNI,Abu Sulayman;AL-HASHIMI,Abu Ma'ali;AL-SAY'ARI,Muhammad Ahmed;AL-SAY'ARI,Muhammad Qan'an;AL-SAY'ARI,Nashwan;AL-SAYARI,Mohammed Saleh;MUTHANA,Mohsen Ahmed Saleh;MUTHANNA,Muhsin Ahmad Salah;QAN'AN,Muhammad Salih Muhammad",
3621672,AL-DHUBHANI,Adil Abduh Fari Uthman,"ABDU FARI,Abu-Al-Abbas Adil;ABDU FARI,Adil Muhammad;ABDU FAZI,Adil Mohammad;ABDUH FARI,Abu-Al-Abbas Adil;ABDUL FAREA'A,Adel;AL THAHBANI,Adel Abdu Fari Othman;AL-DHUBBANI,Adil AbduhFari Uthman;AL-DHUBHANI,Adil Abduh Fari;AL-DHUBHANI,Adil Abduh Fari Uthman;AL-MAKANI,Adil Abd Fari;AL-MALKAB,Adil Fari;AL-THAHBANI,Adel Abdu Fari Othman;AL-ZAHBANI,Adel Abdu Fari Osman;BIN-UTHMAN,Adil Abdu Bin-Fari;FARI,Adil Muhammad Abdu;FAZI,Adil Mohammad Abdu",
3621673,AL-HAYASHI,Sayf Abdulrab Salem,"AL BAYDAANI,Abdiraba Abdirab Salim;AL BAYDANI,Abdirabi Abdirabi Salim;AL BAYDANNI,Abdiraba Abdirab Salim;AL HAISHI,Seif Al Rab Slem;AL-BAYDANI,Sayf;AL-BAYDANI,Sayf Husayn 'Abd-al-Rabb;AL-BHADANI,Saif;AL-BIDHANI,Sayf;AL-HAYASHI,Sayf 'Abd-al-Rab Salim;AL-HAYASHI,Sayf Abdulrab Salem;AL-HAYASHI,SayfAbdulrab Salem;AL-HAYYASHI,Sayf 'Abd-al-wali 'Abd-al-rub;AL-HEESHI,Saifulrab Salim;AL-HISHI,Saif al-Rab Salem;BAYDAANI,Abdiraba Abdirab Salim;BEYDAAANI,Abdi Rabh Abdi Rabi Saalim;SALIM,Abdiraba Abdirab",
3621674,AL-MARFADI,Khalid,"AL MARFADI,Khalid;AL MARFADI,Khalid Abdullah;AL MARFADI,Khalid Abdullah Saleh;AL-MARFADI,Khaled Abdullah;AL-MARFADI,Khaled Abdullah Saleh;AL-MARFADI,Khalid;AL-MARFADI,Khalid Abdullah;AL-MARFADI,Khalid Abdullah Salah;AL-MARFADI,Khalid Omar;AL-MARFIDI,Khalid Abdullah Saleh;AL-YAFI'I,Abu Anas;AL-YAFI'I,Khalid Abdallah Salah Ahmad Hussayn al-'Umari al-Marfadi;ANAS,Abu",
3623498,CH'OLHYO'N OVERSEAS CONSTRUCTION COMPANY,,CHOLHYON OVERSEAS CONSTRUCTION COMPANY,
3623500,EXTERNAL CONSTRUCTION BUREAU,,EXTERNAL CONSTRUCTION GENERAL COMPANY;EXTERNAL CONSTRUCTION GUIDANCE BUREAU,
3623501,EXTERNAL CONSTRUCTION BUREAU,,EXTERNAL CONSTRUCTION GENERAL COMPANY;EXTERNAL CONSTRUCTION GUIDANCE BUREAU,
3623502,EXTERNAL CONSTRUCTION BUREAU,,EXTERNAL CONSTRUCTION GENERAL COMPANY;EXTERNAL CONSTRUCTION GUIDANCE BUREAU,
3623503,EXTERNAL CONSTRUCTION BUREAU,,EXTERNAL CONSTRUCTION GENERAL COMPANY;EXTERNAL CONSTRUCTION GUIDANCE BUREAU,
3623504,MILITARY SECURITY COMMAND,,KOREAN PEOPLE'S ARMY SECURITY BUREAU;MILITARY SECURITY BUREAU;MILITARY SECURITY COMMAND (MSC),
3623508,CH'OLHYO'N OVERSEAS CONSTRUCTION COMPANY,,CHOL-HYON CONSTRUCTION;CHOLHYON OVERSEAS CONSTRUCTION COMPANY,
3623514,KIM,Kang Jin,"KIM,Kang Jin;KIM,Kang-Jin;KIM,Kang-chin",
3623515,KIM,Min Chol,"KIM,Min Chol",
3623516,SIN,Yong Il,"SHIN,Yong Il;SIN,Yo'ng Il;SIN,Yong Il;SIN,Yong-Il",
3628201,GREEN WAVE TELECOMMUNICATION,,GREEN WAVE TECHNOLOGIES;GREEN WAVE TELECOMMUNICATION SDN BHD;GREEN WAVE TELECOMMUNICATION SDN BHN;GREENWAVE TELECOM,
3633754,VSEROSSISKIY INSTITUT AVIATSIONNYKH MATERIALOV,,ALL-RUSSIAN SCIENTIFIC RESEARCH INSTITUTE OF AERONAUTICAL MATERIALS;ALL-RUSSIAN SCIENTIFIC RESEARCH INSTITUTE OF AVIATION MATERIALS;FEDERAL STATE UNITARY ENTERPRISE ALL-RUSSIAN SCIENTIFIC RESEARCH INSTITUTE OF AERONAUTICAL MATERIALS;FEDERAL STATE UNITARY ENTERPRISE ALL-RUSSIAN SCIENTIFIC RESEARCH INSTITUTE OF AVIATION MATERIALS OF THE NATIONAL RESEARCH CENTER KURCHATOV INSTITUTE STATE RESEARCH CENTER OF THE RUSSIAN FEDERATION;FGUP VIAM;NRC KURCHATOV INSTITUTE - VIAM;VSEROSSIYSKIY NAUCHNO-ISSLEDOVATELSKIY INSTITUT AVIATSIONNYKH MATERIALOV,
3636844,KASMA,,,
3638916,STATE RESEARCH CENTER OF THE RUSSIAN FEDERATION FGUP CENTRAL SCIENTIFIC RESEARCH INSTITUTE OF CHEMISTRY AND MECHANICS,,"CENTRAL SCIENTIFIC-RESEARCH INSTITUTE OF CHEMISTRY AND MECHANICS;CNIIHM;FEDERAL STATE UNITARY ENTERPRISE CENTRAL SCIENTIFIC-RESEARCH INSTITUTE OF CHEMISTRY AND MECHANICS;FGUP CNIIXM;FGUP TSNIIKHM;GNTS RF FGUP TSNIIKHM;State Research Center of the Russian Federation FGUP Central Scientific Research Institute of Chemistry and Mechanics;TSENTRALNY NAUCHNO-ISSLEDOVATELSKI INSTITUT KHIMII I MEKHANIKI, FGUP;TSNIIKHM, FGUP;TsNIIKhM",
3639218,MINISTRY OF INTERIOR,,MININT;MININT - MINISTERIO DEL INTERIOR;MININT - Ministerio del Interior;MINISTERIO DEL INTERIOR;MINISTERIO DEL INTERIOR DE LA REPÚBLICA DE CUBA;Ministry of Interior,
3639388,POLICIA NACIONAL REVOLUCIONARIA,,PNR;PNR - POLICÍA NACIONAL REVOLUCIONARIA;PNR - Policía Nacional Revolucionaria,
3659105,FORENT TECHNIK GMBH,,,
3659106,PARDAZESH TASVIR RAYAN CO,,PARDAZESH TASVIR RAYAN CO.;RAYAN IMAGE PROCESSING CORPORATION;RAYAN PRINTING,
3659107,PRINTING TRADE CENTER GMBH,,PTC GMBH,
3659108,TEJARAT ALMAS MOBIN HOLDING,,ALMAS MOBIN TRADING,
3660602,AHMED,Qassim Abdullah Ali,"ABDULLAH ALI,Qassim;ABDULLAH,Qassim;AHMED,Kassem Abdullah Ali;AHMED,Qassim Abdullah Ali;AL MUAMEN,Qassim;AL-MUAMEN,Qassim;Qassim Abdullah Ali Ahmed;Qassim al-Muamen (AAB)",
3660749,SUN,Sidong,"SUN,Si Dong;SUN,Sidong",
3660750,"DANDONG DONGYUAN INDUSTRIAL CO., LTD.",,"DANDONG DONGYUAN INDUSTRIAL CO LTD;DANDONG DONGYUAN INDUSTRIAL CO.;DANDONG DONGYUAN INDUSTRY CO., LTD.;Dandong Dongyuan Industrial Co.;Dandong Dongyuan Industrial Co., Ltd.;Dandong Dongyuan Industry Co., Ltd.",
3660751,DANDONG HONGDA TRADE CO. LTD.,,"DANDONG HONGDA TRADE CO LTD;DANDONG HONGDA TRADE CO.,LTD.",
3660752,"DANDONG KEHUA ECONOMY & TRADE CO., LTD.",,DANDONG KEHUA ECONOMIC AND TRADE CO. LTD.;DANDONG KEHUA ECONOMY & TRADE CO LTD,
3660753,"DANDONG XIANGHE TRADING CO., LTD.",,"CHINA DANDONG XIANGHE;CHINA DANDONG XIANGHE TRADING CO LTD;DANDONG XIANGHE TRADING CO LTD;DANDONG XIANGHE TRADING CORPORATION;DANDONG XIANGHE TRADING LTD. CO;XIANGHE TRADE CO., LTD.",
3660754,DAWN MARINE MANAGEMENT CO LTD,,,
3660755,KOREA DAEBONG SHIPPING CO,,,
3660756,KOREA RUNGRADO RYONGAK TRADING CO,,KOREA RUNGRADO RYONGAK TRADING,
3660757,KOREA RUNGRADO SHIPPING CO,,,
3660758,KOREA SOUTH-SOUTH COOPERATION CORPORATION,,NAM NAM GENERAL CORPORATION;NAM-NAM (SOUTH-SOUTH) COOPERATIVE GENERAL COMPANY,
3660759,KOREA SOUTH-SOUTH COOPERATION CORPORATION,,NAM NAM GENERAL CORPORATION;NAM-NAM (SOUTH-SOUTH) COOPERATIVE GENERAL COMPANY,
3660760,KOREA SOUTH-SOUTH COOPERATION CORPORATION,,NAM NAM GENERAL CORPORATION;NAM-NAM (SOUTH-SOUTH) COOPERATIVE GENERAL COMPANY,
3660762,KOREA SOUTH-SOUTH COOPERATION CORPORATION,,NAM NAM GENERAL CORPORATION;NAM-NAM (SOUTH-SOUTH) COOPERATIVE GENERAL COMPANY,
3660763,MINISTRY OF LAND AND MARITIME TRANSPORTATION OF THE DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,,MINISTRY OF LAND AND MARINE TRANSPORT;MINISTRY OF LAND AND MARITIME TRANSPORTATION,
3660764,YUSONG SHIPPING CO,,,
3660767,KOREA KUMBYOL TRADING COMPANY,,KOREA KUMBYOL TRADING CO;KUMBYOL TRADING;KUMBYOL TRADING COMPANY OF NORTH KOREAN WORKERS' PARTY,
3660993,MESRI,Behzad,"Behzad Mesri;MESRI,Behzad;VAHSHAT,Sjote;VASHAT,Skote",
3661118,SO BAEK SAN,,,
3661132,KUM UN SAN 3,,KYUNG DONG FRONTIER;Kum Un San 3;PU RYONG;YONGWAN,
3661141,7-28,,7 28,
3661157,RYE SONG GANG 1,,DEGTYARSK;Degtyarsk;MEDSTAR;Medstar;POINTE DE PENHARN;POINTE DU VAN;Pointe de Penharn;Pointe du Van;RYESONGGANG-1;RYESONGGANG1;Rye Song Gang 1;RyeSongGang-1;RyeSongGang1,
3661184,KANG SONG 1,,,
3661198,YANG GAK DO,,,
3661419,RAK RANG,,MAE BONG SAN,
3663936,AL-SAMAHI,Alaa Ali Ali Mohammed,"AL SAMAHI,Alaa Ali;AL SAMAHI,Alaa Ali Ali;AL SAMAHI,Alaa Ali Ali Mohamed;AL SAMAHI,Alaa Ali Ali Mohammed;AL-SAMAHI,Ala'a Ali Ali Mohammed;AL-SAMAHI,Alaa Ali Ali;AL-SAMAHI,Alaa Ali Ali Mohammed;AL-SAMAHY,Allaa;EL-SAMAHI,Alaa Ali;ES SAMAHI,Ala Ali Ali Muhammed",
3667037,MATRAIMOV,Raimbek,"MATRAIMOV,Raimbek;MATRAIMOV,Raimbek Ismailovich;MATRAIMOV,Raimbek Ysmailovich;MATRAIMOV,Raiym Ysmailovich;MATRAIMOV,Raiymbek;MATRAIMOV,Rayimbek;RAIMBEK MATRAIMOV;YSMAIYLOV,Raiym",
3674323,RUANO YANDUN DRUG TRAFFICKING ORGANIZATION,,,
3674324,RUANO YANDUN DRUG TRAFFICKING ORGANIZATION,,,
3681123,SAM JONG 2,,AKTIVA;BIMA;OCHRE POINT;PETROCHEM VALOUR;RAINBOW CHASER;SAM JUNG 2;SOLVENT DISCOVERER;Sam Jong 2;TOM MIRA;YU JONG 3;YU_JONG_3,
3693121,SOUTH KAVEH STEEL COMPANY,,KISH SOUTH KAVEH COMPANY;KISH SOUTH KAVEH STEEL CO;KISH SOUTH KAVEH STEEL COMPANY;SKS;SKS STEEL COMPANY;SOUTH KAVEH STEEL CO.;STEEL KAVEH SOUTH KISH;South Kaveh Steel Company,
3693468,UN RYUL,,CHON WON 67;SIN PHYONG;YONG GWANG,
3696371,PUBLIC JOINT STOCK COMPANY KB VOSTOCHNY,,COMMERCIAL BANK ORIENT EXPRESS BANK;ORIENT EXPRESS BANK;PAO KB VOSTOCHNYY;PAO KB VOSTOCHNYY EKSPRESS BANK;PJSC KB VOSTOCHNY;PJSC KB VOSTOCHNYY;PUBLIC JOINT STOCK COMPANY VOSTOCHNYI EKSPRESS BANK;PUBLICHNOYE AKTSIONERNOYE OBSHCHESTVO VOSTOCHNYI EKSPRESS BANK;Public Joint Stock Company KB Vostochny;VOSTOCHNY COMMERCIAL BANK PJSC;VOSTOCHNYY EKSPRESS BANK KB PAO,
3700689,AL-MUSTAFA INTERNATIONAL UNIVERSITY,,AL-MUSTAFA;AL-MUSTAFA UNIVERSITY;ALMUSTAFA INTERNATIONAL UNIVERSITY;MIU;MUSTAFA INTERNATIONAL UNIVERSITY,
3700770,HATARI,Musa,"ATAR,Mussa;ATARI,Musah;HATARI,Musa;MUSA,Atari;TAHIR,Musa;TARAH,Musah;TARAK,Musah;TARK,Musa",
3700771,LUKWANG,Okot,"LOKWANG,Okot;LUKWANG,Okot;LUKWENG,Okot;LUKWONG,Okot",
3702060,RUZZA TERAN,Iliana Josefa,"Iliana Josefa Ruzza Terán;RUZZA TERAN,Iliana Josefa;RUZZA TERÁN,Iliana Josefa;RUZZA TERÁN,Iliana Josefina;RUZZA,Iliana",
3704378,DONCOALTRADE SP Z O O,,DONCOALTRADE;DONCOALTRADE SP Z. O.O.;DONCOALTRADE SP ZOO;Doncoaltrade SP Z O O,
3705969,PUBLIC JOINT STOCK COMPANY BANK FINANCIAL CORPORATION OTKRITIE,,BANK OTKRITIE;BANK OTKRITIE FINANCIAL CORPORATION;BANK OTKRITIE FINANCIAL CORPORATION (PUBLIC JOINT-STOCK COMPANY);BANK OTKRITIE FINANCIAL CORPORATION PJSC;Bank Otkritie;Bank Otkritie Financial Corporation PJSC;OTKRITIE;OTKRITIE BANK;Otkritie;Otkritie Bank;PAO BANK FK OTKRITIE;PAO BANK OTKRITIE FINANCIAL CORPORATION;PJSC BANK FK OTKRITIE;PJSC BANK OTKRITIE FINANCIAL CORPORATION;PJSC Bank Fk Otkritie;PUBLIC JOINT STOCK COMPANY BANK OTKRITIE FINANCIAL CORPORATION;PUBLICHNOYE AKTSIONERNOYE OBSHCHESTVO BANK FINANSOVAYA KORPORATSIYA OTKRYTIYE;Pao Bank Otkritie Financial Corporation;Public Joint Stock Company Bank Financial Corporation Otkritie;Public Joint Stock Company Bank Financial Corporation Otkritie (Otkritie);Public Joint Stock Company Bank Otkritie Financial Corporation,
3708790,SHESHENYA,Alexei Nikolaevich,"SHESHENIA,Aleksei Nikolaevich;SHESHENIA,Aleksei Nikolayevich;SHESHENIA,Aleksey Nikolaevich;SHESHENIA,Aleksey Nikolayevich;SHESHENIA,Alexei Nikolaevich;SHESHENIA,Alexei Nikolayevich;SHESHENIA,Alexey Nikolaevich;SHESHENIA,Alexey Nikolayevich;SHESHENYA,Aleksei Nikolaevich;SHESHENYA,Aleksei Nikolayevich;SHESHENYA,Aleksey Nikolaevich;SHESHENYA,Aleksey Nikolayevich;SHESHENYA,Alexei Nikolaevich;SHESHENYA,Alexei Nikolayevich;SHESHENYA,Alexey;SHESHENYA,Alexey Nikolaevich;SHESHENYA,Alexey Nikolayevich",
3708830,KATAEV,Ayub Vakhaevich,"Aiub Kataev;Aiub Vakhaevich KATAEV;Ajub Vachajevitj KATAJEV;Ajubchan Vachajevitj KATAJEV;Ayubkhan Vakhaevich KATAEV;KATAEV Aiub Vakhaevich;KATAEV,AIUB;KATAEV,Aiub;KATAEV,Aiub Vakhaevich;KATAEV,Ayub Vakhaevich;KATAEV,Ayubkhan Vakhaevich",
3712957,ZUPPA HOLDINGS LIMITED,,,
3712959,TEHNOGLOBAL SYSTEMS DOO BEOGRAD,,CALIDUS TRADE DOO;CALIDUS TRADE DOO BEOGRAD;TECHNOGLOBAL SYSTEMS DOO BEOGRAD,
3712961,ABMC THAI-SOUTH SUDAN CONSTRUCTION COMPANY LIMITED,,"ABM CONSTRUCTION COMPANY;ABMC;ABMC THAI SOUTH SUDAN CONSTRUCTION;AGGREGATE BUILDING MATERIALS CONSTRUCTION COMPANY;THAI SOUTH SUDAN CRUSHER, AGGREGATES, AND BUILDING MATERIALS COMPANY;TSSABM",
3712962,ROZARO DEVELOPMENT LIMITED,,,
3712964,ROYAL AFRICA SECURITIES BROKERAGE CO LTD,,ROYAL AFRICA SECURITIES BROKERAGE,
3712965,AFRICADA AIRWAYS,,,
3712966,AFRICA HORIZONS INVESTMENT LIMITED,,,
3712978,SHAH,Mukhtar Hamid,"MUKHTAR,Hamid;Mukhtar Hamid Shah;SHAH,Hamid Mukhtar;SHAH,Mukhtar Hamid",
3712979,ROYAL AFRICA CAPITAL HOLDING LTD,,ROYAL AFRICA HOLDING,
3712980,AFRICADA FINANCIAL SERVICES AND BUREAU DE CHANGE LTD,,AFRICADA FINANCIAL SERVICE & BUREAU DE CHANGE;AFRICADA FINANCIAL SERVICES & BUREAU DE CHANGE LTD,
3712981,AFRICADA INSURANCE COMPANY,,,
3712982,AFRICADA MICRO-FINANCE LTD,,,
3712983,PROGLAN CAPITAL LTD,,,
3712998,ATLANTIC PELICAN COMPANY LTD,,,
3712999,CAPRIKAT AND FOXWHELP SARL,,,
3713000,PREDUZECE ZA TRGOVINU NA VELIKO I MALO PARTIZAN TECH DOO BEOGRAD-SAVSKI VENAC,,PARTIZAN ARMS;PARTIZAN ARMS DOO;PARTIZAN TECH DOO;PARTIZAN TECH DOO BEOGRAD,
3713001,CHARSO LIMITED,,,
3713002,PATRIOT INSURANCE BROKERS CO. LTD,,,
3713003,D.G.D. INVESTMENTS LTD.,,DAN GERTLER DIAMONDS LTD.,
3713004,PALM GROVE AFRICA DEV'T CORP. LTD,,,
3713006,ORAMA PROPERTIES LTD,,,
3713007,OIL OF DR CONGO SPRL,,OIL OF DRCONGO,
3713008,DGI MINING LTD,,,
3713010,LORA ENTERPRISES LIMITED,,LORA ENTERPRISES LTD,
3713011,FLEURETTE HOLDINGS NETHERLANDS B.V.,,,
3713012,KORA MEDIA CORPORATION LTD,,,
3713013,FLEURETTE PROPERTIES LIMITED,,FLEURETTE DUTCH GROUP;FLEURETTE GROUP;GROUPE FLEURETTE;KARIBU AU DEVELOPMENT DURABLE AU CONGO;VENTORA INVESTMENTS S.A.SU,
3713014,FLEURETTE PROPERTIES LIMITED,,FLEURETTE DUTCH GROUP;FLEURETTE GROUP;GROUPE FLEURETTE;KARIBU AU DEVELOPMENT DURABLE AU CONGO;VENTORA INVESTMENTS S.A.SU,
3713015,FLEURETTE PROPERTIES LIMITED,,FLEURETTE DUTCH GROUP;FLEURETTE GROUP;GROUPE FLEURETTE;KARIBU AU DEVELOPMENT DURABLE AU CONGO;VENTORA INVESTMENTS S.A.SU,
3713016,KANILAI WORNI FAMILY FARMS LTD,,KANILAI FAMILY FARMS;KANILAI FARMS LIMITED;KANILAI WONI FARMS;KANILAI WORNI FARMS;KFF,
3713017,KANILAI GROUP INTERNATIONAL,,KANILAI GROUP INVESTMENT INTERNATIONAL;KANILAI GROUP INVESTMENT INTERNATIONAL LTD;KGI;KGI INTERNATIONAL;KGI INTERNATIONAL COMPANY LTD;KGI INTERNATIONAL LTD,
3713018,BOL MEL,Benjamin,"BOL MEL KUOL,Benjamin;BOL MEL,Benjamin;BOL MOL KUOT,Benjamin;BOL,Benjamin;BOR,Benjamin;Benjamin Bol Mel",
3713019,GERTLER FAMILY FOUNDATION,,GFF;LA FONDATION FAMILLE GERTLER,
3713020,JARVIS CONGO SARL,,JARVIS;JARVIS CONGO,
3713021,DEBOUTTE,Pieter Albert,"DEBOUTTE,Pieter Albert",
3713022,GAO,Yan,"GAO,Yan;Gao Yan",
3713023,GRAWIT LIMITED,,,
3713024,HOME AND AWAY LTD.,,HOME & AWAY LTD,
3713321,OOO RGS HOLDING,,LIMITED LIABILITY COMPANY RGS HOLDING;OBSHCHESTVO S OGRANICHENNOY OTVETSTVENNOSTYU RGS KHOLDING;OOO RGS Holding;RGS HOLDING LLC;RGS HOLDING OOO;RGS KHOLDING,
3713641,PUBLIC JOINT STOCK COMPANY INSURANCE COMPANY ROSGOSSTRAKH,,IC ROSGOSSTRAKH PJSC;PAO ROSGOSSTRAKH;PAO SK ROSGOSSTRAKH;PAT SK ROSGOSSTRAKH;PJSC IC ROSGOSSTRAKH;PJSC ROSGOSSTRAKH INSURANCE COMPANY;PUBLIC JOINT STOCK COMPANY ROSGOSSTRAKH INSURANCE COMPANY;PUBLICHNOYE AKTSIONERNOYE OBSHCESTVO STRAKNOVAYA KOMPANIYA;ROSGOSSTRAKH;ROSGOSSTRAKH INSURANCE COMPANY GROUP;SK ROSGOSSTRAKH PAO,
3714307,NOVYI VEK - MEDIA,,NOVY VEK-MEDIA OOO;OBSHCHESTVO S OGRANICHENNOY OTVETSTVENNOSTYU NOVYY VEK - MEDIA;OOO NOVYY VEK - MEDIA,
3714387,THIEVES-IN-LAW,,KANONIERI KURDEBI;KANONIERI QURDEBI;KANONIERI QURDI;RAMKIANI QURDEBI;RAMKIANI QURDI;SINIE;THIEF-IN-LAW;THIEVES PROFESSING THE CODE;THIEVES-WITHIN-THE-LAW;VOR V ZAKONYE;VOR-V-ZAKONE;VOR-ZAKONNIK;VORY V ZAKONI;VORY V ZAKONYE;VORY-V-ZAKONE;ZAKONNIK,
3714390,THIEVES-IN-LAW,,KANONIERI KURDEBI;KANONIERI QURDEBI;KANONIERI QURDI;RAMKIANI QURDEBI;RAMKIANI QURDI;SINIE;THIEF-IN-LAW;THIEVES PROFESSING THE CODE;THIEVES-WITHIN-THE-LAW;VOR V ZAKONYE;VOR-V-ZAKONE;VOR-ZAKONNIK;VORY V ZAKONI;VORY V ZAKONYE;VORY-V-ZAKONE;ZAKONNIK,
3714392,THIEVES-IN-LAW,,KANONIERI KURDEBI;KANONIERI QURDEBI;KANONIERI QURDI;RAMKIANI QURDEBI;RAMKIANI QURDI;SINIE;THIEF-IN-LAW;THIEVES PROFESSING THE CODE;THIEVES-WITHIN-THE-LAW;VOR V ZAKONYE;VOR-V-ZAKONE;VOR-ZAKONNIK;VORY V ZAKONI;VORY V ZAKONYE;VORY-V-ZAKONE;ZAKONNIK,
3714394,THIEVES-IN-LAW,,KANONIERI KURDEBI;KANONIERI QURDEBI;KANONIERI QURDI;RAMKIANI QURDEBI;RAMKIANI QURDI;SINIE;THIEF-IN-LAW;THIEVES PROFESSING THE CODE;THIEVES-WITHIN-THE-LAW;VOR V ZAKONYE;VOR-V-ZAKONE;VOR-ZAKONNIK;VORY V ZAKONI;VORY V ZAKONYE;VORY-V-ZAKONE;ZAKONNIK,
3714404,VESNA HOTEL AND SPA,,OAO KOTEHK VESNA;OTEL VOLNA REZORT END SPA;VESNA HOTEL & SPA;ZAKRYTOYE AKTSIONERNOYE OBSHCHESTVO SPA-OTEL VESNA;ZAO SPA-OTEL VESNA,
3716977,DAWOOD IBRAHIM ORGANIZATION,,,
3716992,DAWOOD IBRAHIM ORGANIZATION,,,
3719660,KOTI,,Koti;SEMUA SEJATI;Semua Sejati,
3719786,ANDARIEL,,Andariel,
3724081,ADAN,Abukar Ali,"ABUKAR;ABUKAR ALI ADAN;ABUKAR ALI ADAN Abukar Ali Aden Ibrahim Afghan Sheikh Abukar;ABUKAR ALI ADAN,Abukar Ali Aden Ibrahim Afghan Sheikh Abukar;ABUKAR,Sheikh;ADAN,Abukar Ali;ADAN,Abukara Ali;ADEN,Abukar Ali;AFGHAN,Ibrahim;Abukar Ali Adan;Abukar Ali Aden;Ibrahim Afghan;Sheikh Abuka;Sheikh Abukar",
3724083,AL-GHAZALI,Muhammad,"AL-GHAZALI,Muhammad;AL-GHAZALI,Muhammad Abd al-Karim;AL-MAWARI,Abu Hisham;MAWARI,Abu Hisham",
3724084,SHAHID ESLAMI RESEARCH CENTER,,SHAHID ESLAMI RESEARCH CENTRE;Shahid Eslami Research Center,
3724086,SHAHID MOGHADDAM INDUSTRIES,,Shahid Moghaddam Industries,
3724087,SHAHID SANIKHANI INDUSTRIES,,Shahid Sanikhani Industries,
3724088,SHAHID SHUSTARI INDUSTRIES,,SHAHID SHOSHTARI INDUSTRIES;SHAHID SHOUSHTARI;SHAHID SHUSHTARI INDUSTRIES;Shahid Shoshtari Industries;Shahid Shoushtari;Shahid Shushtari Industries;Shahid Shustari Industries,
3724583,KYAW,Maung Maung,"General Maung Maung Kyaw;KYAW,Maung Maung;MAUNG MAUNG KYAW;Maung Maung Kyaw",
3729172,DIFUSO COMUNICACIONES S.A.,,DIFUSO AUDIOVISUALES;DIFUSO COMUNICACIONES;DIFUSO COMUNICACIONES SA;Difuso Comunicaciones S.A.,
3734837,RAZAVI,Morteza,"RAZAVI,Morteza;RAZAVI,Seyed Morteza;REZAVI,Mortaza",
3734838,YUHUA,Shi,"HUA,Shi Yu;SHI,Yu Hua;SHI,Yuhua;YUHUA,Shi",
3734839,ZHU,Yuequn,"ZHU,Yue Qun;ZHU,Yuequn",
3734840,ZIAEI,Gholamreza,"Gholamreza ZIAEI;Gholamreza Ziaei;ZIAEI Gholamreza;ZIAEI,Gholamreza",
3734842,BOCHUANG CERAMIC INC,,"BOCHUANG CERAMIC, INC.",
3734843,ISLAMIC REVOLUTIONARY GUARD CORPS ELECTRONIC WARFARE AND CYBER DEFENSE ORGANIZATION,,IRGC ELECTRONIC WARFARE AND CYBER DEFENSE ORGANIZATION;IRGC EWCD ORGANIZATION;IRGC JANGAL ORGANIZATION,
3734879,PARDAZAN SYSTEM NAMAD ARMAN,,FARAZ TEJARAT ERTEBAT CO;PARDAZAN SYSTEM HOUSES ARMAN;PASNA;PASNA INDUSTRY CO.;PASNA INTERNATION TRADING CO;PASNA INTERNATION TRADING CO.,
3734880,RAJAEE SHAHR PRISON,,GOHARDASHT PRISON;Gohar Dasht;Gohar Dasht Prison;Gohar-Dasht-Gefängnis;Gorhardasht;Gorhardasht Prison;Gorhardasht-Gefängnis;Kalejimas 'Rajaee Shahr';Prigione Rajaee Shahr;Prisión de Rajaee Shahr;Prison de Rajaee Shahr;Prisão de Gohar Dasht;Prisão de Gorhardasht;Prisão de Rajaee Shahr;Prisão de Rajai Shahr;RAJAEI SHAHR PRISON;RAJAI-SHAHR PRISON;Raja'i Shahr;Rajaee Shahr Prison;Rajaee Shahr-fängelset;Rajaee Shahrgevangenis;Rajaee Shahrin vankila;Rajaee-Shahr-Gefängnis;Rajai Shahr;Rajai Shahr Prison;Rajai-Shahr-Gefängnis;Rajaishahr;Rajayi Shahr;Rajài Shahr;Reja'i Shahr;Rejài Shahr;Väznica Rajaee Shahr;Zapor Rajaee Shahr;Zatvor Rajaee Shahr;orhardasht-Gefängnis;prigione Gohar Dasht;prigione Gorhardasht;prigione Rajai Shahr;prisión de Gohar Dasht;prisión de Gorhardasht;prisión de Rajai Shahr;zapor Gohar Dasht;zapor Gorhardasht;zapor Rajai Shahr;zatvor Gohar Dasht;zatvor Gorhardasht;zatvor Rajai Shahr;Închisoarea Gohar Dasht;Închisoarea Gorhardasht;Închisoarea Rajaee Shahr;Închisoarea Rajai Shahr,
