,left_WHOLE_NAME,left_UID,similarity_x,right_requestID,right_wholeName,left_lastname_phone,similarity_y,right_lastnamePhone
160,MELLI INTERNATIONAL BUILDING INDUSTRY,4568624,0.31063697,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
161,INTERNATIONAL COBALT CO,49729,0.3090306,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
162,KASB INTERNATIONAL,2112742,0.30832472,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
163,MKS INTERNATIONAL CO,3312062,0.30684128,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
164,GG INTERNACIONAL,2069194,0.30627745,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
165,THIONGKOL,5427477,0.30545568,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
166,KISH INTERNATIONAL BANK,2406901,0.30412027,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
167,BLOTO INTERNATIONAL,244085,0.30293554,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
168,BLOTO INTERNATIONAL,244081,0.30293554,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
169,BLOTO INTERNATIONAL,244082,0.30293554,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
170,DOOSTAN INTERNATIONAL,1270977,0.30022943,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
171,ADOON GENERAL TRADING,6506960,0.29816714,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
172,INTERNATIONAL TRADE AND INDUSTRIAL TECHNOLOGY ITRITEC,6155259,0.29745024,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
173,PANACEA INTERNATIONAL,2570231,0.29583484,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
174,JUNIOR INTERNATIONAL,1653091,0.29373145,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
175,KOREA DAESONG GENERAL TRADING,782404,0.29071984,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
176,PERSIA INTERNATIONAL BANK,734186,0.28171423,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
177,PERSIA INTERNATIONAL BANK,594288,0.28171423,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
178,ILSIM INTERNATIONAL BANK,1810718,0.2805883,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
179,INTERNATIONAL INVESTMENTS HOLDING SA DE,5628525,0.27826077,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
180,AFRICAN TRANS INTERNATIONAL HOLDINGS,4111396,0.275996,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
181,BANK SEPAH INTERNATIONAL,553037,0.27339283,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
182,LIAONING DANXING INTERNATIONAL FORWARDING CO,4908911,0.2722933,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
183,PANGATES INTERNATIONAL CORPORATION,2457846,0.2689637,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
184,PANGATES INTERNATIONAL CORPORATION,2355701,0.2689637,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
185,BALTIC LEADER,6917338,0.2685828,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
186,ETCO INTERNATIONAL COMPANY,52859,0.26721528,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
187,SEMICONDUCTOR MANUFACTURING INTERNATIONAL,6213107,0.26701322,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
188,SEMICONDUCTOR MANUFACTURING INTERNATIONAL,6185574,0.26701322,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
189,DONGHAI INTERNATIONAL SHIP MANAGEMENT,6209544,0.26669955,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
190,HONG PANG GENERAL TRADING COMPANY,978053,0.26588315,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
191,ASYAF INTERNATIONAL HOLDING GROUP FOR TRADING AND INVESTMENT,2794863,0.26469335,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
192,ASYAF INTERNATIONAL HOLDING GROUP FOR TRADING AND INVESTMENT,2794864,0.26469335,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
193,UNITED WORLD INTERNATIONAL,6928512,0.26406938,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
194,INTERNATIONAL DIAMOND INDUSTRIES,216347,0.26203677,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
195,CUBANACAN INTERNATIONAL B V,212054,0.2616737,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
196,INTERNATIONAL ANTICRISIS CENTER,6410555,0.26155737,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
197,MARANER HOLDINGS,1304810,0.2614773,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
198,ALQUDS INTERNATIONAL FOUNDATION,1856811,0.2569619,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
199,ADOON GENERAL TRADING FZE,6506951,0.25515926,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
200,AQUAMARINA ISLAND INTERNATIONAL,6737312,0.25404742,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
201,AQUAMARINA ISLAND INTERNATIONAL,594108,0.25404742,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
202,DANDONG ZHONGSHENG INDUSTRY TRADE CO,4359177,0.253138,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
203,HESONG TRADING,369030,0.25234947,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
204,DALIAN SUN MOON STAR INTERNATIONAL LOGISTICS TRADING CO,4376400,0.25206268,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
205,INTERNATIONAL SIKH YOUTH FEDERATION,43689,0.2520104,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
206,KINGLY WON INTERNATIONAL CO,3802399,0.25119922,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
207,KINGLY WON INTERNATIONAL CO,3802406,0.25119922,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
208,HERCULES INTERNATIONAL SHIP,2373661,0.25115585,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
209,HERCULES INTERNATIONAL SHIP,1979841,0.25115585,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
210,NAMCHONGANG TRADING,1085084,0.2510232,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
211,ALAKHTAR TRUST INTERNATIONAL,191039,0.25087142,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
212,ALAKHTAR TRUST INTERNATIONAL,191040,0.25087142,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
213,LEBRA MOON GENERAL TRADING,4914643,0.25031525,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
214,JINHOU INTERNATIONAL HOLDINGS CO,3544321,0.25025105,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
215,MAK INTERNATIONAL SERVICES CO,3562452,0.25016966,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
216,HONG KONG INTERTRADE,1793827,0.55104,FF1234580,LEADER HONG KONG INTERNATIONAL TRDAING,,,
217,MINGZHENG INTERNATIONAL TRADING,3460446,0.38957894,FF1234580,LEADER HONG KONG INTERNATIONAL TRDAING,,,
218,MINGZHENG INTERNATIONAL TRADING,3544328,0.38957894,FF1234580,LEADER HONG KONG INTERNATIONAL TRDAING,,,
219,NIA INTERNATIONAL,2436802,0.3881747,FF1234580,LEADER HONG KONG INTERNATIONAL TRDAING,,,
220,SHEN ZHONG INTERNATIONAL SHPG,3802516,0.37834772,FF1234580,LEADER HONG KONG INTERNATIONAL TRDAING,,,
221,CK INTERNATIONAL,3747403,0.35265818,FF1234580,LEADER HONG KONG INTERNATIONAL TRDAING,,,
222,CK INTERNATIONAL,3747404,0.35265818,FF1234580,LEADER HONG KONG INTERNATIONAL TRDAING,,,
