,left_WHOLE_NAME,left_UID,similarity,right_Company CIK Key,right_Company Name
53,Leonard LAI,2740787,0.65510607,1234919,ABEL LEONARD L
54, BOM ASSET MANAGEMENT LTD,2399587,0.64403915,1305671,ABERDEEN ASSET MANAGEMENT LTD
55, BOM ASSET MANAGEMENT LTD,2399587,0.64403915,1520377,ABERDEEN ASSET MANAGEMENT LTD
56, NUCLEAR SCIENCE AND TECHNOLOGY RESEARCH INSTITUTE,1299973,0.60883445,942110,ABERNATHY TECHNOLOGY RESEARCH INSTITUTE INC
57, ALEL TECHNOLOGIES LLC,5837124,0.67318076,1265678,ABET TECHNOLOGIES LLC
58, GREEN CAR RENT LIMITED PARTNERSHIP,376041,0.616468,1252071,ABS LIMITED PARTNERSHIP
59, ABTIN 1,1222203,0.7759794,1400299,ABT INC
60, DMI TRADING INC,4211082,0.63891894,894485,AC TRADING INC
61, NIA INTERNATIONAL,2436802,0.68828505,1298393,ACACIA INTERNATIONAL LTD
62, A T E INTERNATIONAL LTD,7302,0.6704553,1298393,ACACIA INTERNATIONAL LTD
63, CK INTERNATIONAL LTD,3747404,0.662893,1298393,ACACIA INTERNATIONAL LTD
64, CK INTERNATIONAL LTD,3747403,0.662893,1298393,ACACIA INTERNATIONAL LTD
65, STARS INTERNATIONAL LTD,2357183,0.62360317,1298393,ACACIA INTERNATIONAL LTD
66, STARS INTERNATIONAL LTD,2357182,0.62360317,1298393,ACACIA INTERNATIONAL LTD
67, NORTH GROUP HOLDING CORP,2570227,0.63307106,1311694,ACC GROUP HOLDING CORP
68, SES INTERNATIONAL CORP,226922,0.71644574,1985,ACCEL INTERNATIONAL CORP
69," DES INTERNATIONAL CO., LTD.",6138077,0.6025589,1985,ACCEL INTERNATIONAL CORP
70," DES INTERNATIONAL CO., LTD.",6138072,0.6025589,1985,ACCEL INTERNATIONAL CORP
71," DES INTERNATIONAL CO., LTD.",6138056,0.6025589,1985,ACCEL INTERNATIONAL CORP
72," DES INTERNATIONAL CO., LTD.",6138031,0.6025589,1985,ACCEL INTERNATIONAL CORP
73, CHINA TELECOMMUNICATIONS CORPORATION,263450,0.61591357,1254340,ACCELERATED COMMUNICATIONS CORP
74, INDUSTRIAL SOLUTIONS,1085087,0.75349796,1380110,ACCELERATED INDUSTRIAL SOLUTIONS INC
75, MAINPHARMA,5023601,0.6187075,1280600,ACCELERON PHARMA INC
76, ELEMENT CAPITAL ADVISORS LIMITED,6249904,0.66434485,1356558,"ACCENT CAPITAL ADVISORS, L.L.C."
77, ELEMENT CAPITAL ADVISORS LIMITED,6249896,0.66434485,1356558,"ACCENT CAPITAL ADVISORS, L.L.C."
78, SB INTERNATIONAL SARL,2378590,0.68338966,1178451,ACCENTURE INTERNATIONAL SARL
79, IRAN INSURANCE COMPANY,1273811,0.62324566,74783,ACCEPTANCE INSURANCE COMPANIES INC
80, IRAN INSURANCE COMPANY,1273808,0.62324566,74783,ACCEPTANCE INSURANCE COMPANIES INC
81, IRAN INSURANCE COMPANY,1273807,0.62324566,74783,ACCEPTANCE INSURANCE COMPANIES INC
82, IRAN INSURANCE COMPANY,1273806,0.62324566,74783,ACCEPTANCE INSURANCE COMPANIES INC
83, IRAN INSURANCE COMPANY,1240026,0.62324566,74783,ACCEPTANCE INSURANCE COMPANIES INC
84, STARS COMMUNICATIONS LTD,2357179,0.6372022,1399944,"ACCESS COMMUNICATIONS, LLC"
85, IAC INTERNATIONAL INC,232101,0.6297042,845249,ACCESS INTERNATIONAL INC
86, REEM PHARMACEUTICAL,3312046,0.60336834,318306,ACCESS PHARMACEUTICALS INC
87, SMILE TECHNOLOGIES SA,4992724,0.6045894,1490948,"ACCESSIBLE TECHNOLOGIES, INC."
88, ADVANCED TECHNOLOGIES COMPANY OF IRAN,1302652,0.60719395,1072229,ACCORD ADVANCED TECHNOLOGIES INC
89, IAC INTERNATIONAL INC,232101,0.72793835,1063239,ACCPAC INTERNATIONAL INC
90, SARA PROPERTIES LIMITED,450389,0.61707634,1364776,ACE DEVELOP PROPERTIES LIMITED
91, THRACE FOUNDATION,6492127,0.8500003,1081666,ACE FOUNDATION
92, SEAFIRE FOUNDATION,5147897,0.611327,1081666,ACE FOUNDATION
93, SMILE TECHNOLOGIES SA,4992724,0.6369795,1220663,ACE TECHNOLOGIES INC
94, ALEL TECHNOLOGIES LLC,5837124,0.60722774,1220663,ACE TECHNOLOGIES INC
95, SMILE TECHNOLOGIES SA LLC,4992914,0.6019614,1220663,ACE TECHNOLOGIES INC
96, REEM PHARMACEUTICAL,3312046,0.6045081,1527246,ACERUS PHARMACEUTICALS CORP
97, ALEL TECHNOLOGIES LLC,5837124,0.64412487,1394173,ACEVA TECHNOLOGIES LLC
98, IAC INTERNATIONAL INC,232101,0.63299865,920307,ACF INTERNATIONAL INC.
99, IAC INTERNATIONAL INC,232101,0.63299865,920307,ACF INTERNATIONAL INC
100, CASTLE INVESTMENT HOLDING,5832119,0.60128003,1406430,ACH INVESTMENT HOLDINGS LLC
101, CASTLE INVESTMENT HOLDING,5832117,0.60128003,1406430,ACH INVESTMENT HOLDINGS LLC
102, BOM ASSET MANAGEMENT LTD,2399587,0.6242545,1510940,ACK ASSET MANAGEMENT LLC
103, IAC INTERNATIONAL INC,232101,0.612203,1092945,"ACLOR INTERNATIONAL, INC."
104, UNIDAD CARDIOVASCULAR LTDA.,687141,0.62146544,1059515,ACORN CARDIOVASCULAR INC
105, IAC INTERNATIONAL INC,232101,0.64619774,1365742,"ACORN INTERNATIONAL, INC."
106, IAC INTERNATIONAL INC,232101,0.7024824,1113601,ACT INTERNATIONAL INC
107, NIA INTERNATIONAL,2436802,0.63136417,1113601,ACT INTERNATIONAL INC
108, SPI INTERNATIONAL,5644930,0.60756356,1113601,ACT INTERNATIONAL INC
109, SPI INTERNATIONAL,5644929,0.60756356,1113601,ACT INTERNATIONAL INC
110, SPI INTERNATIONAL,5644868,0.60756356,1113601,ACT INTERNATIONAL INC
111, METALLIC MANUFACTURING FACTORY,3338700,0.62507737,937971,ACT MANUFACTURING INC
112, IRAN TRACTOR MANUFACTURING COMPANY,1302646,0.6104153,937971,ACT MANUFACTURING INC
113, REEM PHARMACEUTICAL,3312046,0.6521887,1328440,ACTINIUM PHARMACEUTICALS INC
114, REEM PHARMACEUTICAL,3312046,0.6521887,1328440,"ACTINIUM PHARMACEUTICALS, INC."
115, REEM PHARMACEUTICAL,3312046,0.6521887,1388320,"ACTINIUM PHARMACEUTICALS, INC."
116, REEM PHARMACEUTICAL,3312046,0.6209451,1478610,"ACTON PHARMACEUTICALS, INC."
117, A T E INTERNATIONAL LTD,7302,0.7015431,819255,ACTRADE INTERNATIONAL LTD
118, CK INTERNATIONAL LTD,3747404,0.6498618,819255,ACTRADE INTERNATIONAL LTD
119, CK INTERNATIONAL LTD,3747403,0.6498618,819255,ACTRADE INTERNATIONAL LTD
120, STARS INTERNATIONAL LTD,2357183,0.61134434,819255,ACTRADE INTERNATIONAL LTD
121, STARS INTERNATIONAL LTD,2357182,0.61134434,819255,ACTRADE INTERNATIONAL LTD
122, REEM PHARMACEUTICAL,3312046,0.6087938,786947,"ACURA PHARMACEUTICALS, INC"
123, STREAM,1794065,0.61660147,1589352,"ACUSTREAM, INC."
124, TAJCO,1400245,0.66550094,1485102,ADAJ CORP
125, TAJCO,1400243,0.66550094,1485102,ADAJ CORP
126, TAJCO,1400240,0.66550094,1485102,ADAJ CORP
127, IRAN AIRCRAFT INDUSTRIES,840575,0.77717364,1178050,ADAM AIRCRAFT INDUSTRIES INC
128, SIMATIC DEVELOPMENT CO,1629765,0.63561654,1205615,ADC DEVELOPMENT CORP
129, REDIN EXCHANGE,5207836,0.62537754,1415600,"ADD-ON EXCHANGE, INC."
130, IAC INTERNATIONAL INC,232101,0.63189644,1394991,ADEA INTERNATIONAL INC
131, NIA INTERNATIONAL,2436802,0.6316398,1394991,ADEA INTERNATIONAL INC
132, PANACEA INTERNATIONAL LTD,2570231,0.61881435,1394991,ADEA INTERNATIONAL INC
133, DANIEL,1955894,0.6127169,1460223,ADELMAN DANIEL
134, WESTLINE ENTERPRISES INC,3012067,0.6042294,798538,ADEN ENTERPRISES INC
